Name,Instructor/Presenter,Short description,Audience Exposure Level,Specificity,Learning Pathway
From Zero to App Development with Generative AI,Alok Kumar Sahu,"This training session teaches participants how to use AI-powered coding tools to simplify application development, covering programming fundamentals, AI development tools, and prompt engineering, enabling independent application creation regardless of technical background.",Lv. 2 - Sometimes use AI,Lv.2 - Hands On,Engineering 
Getting Started on Your AI Journey in Operations (Part 1: Understanding the Basics),Anders Reagan,"This 1-hour session introduces generative AI, covering its definition, functionality, and integration into administrative tools like ChatGPT and Microsoft Copilot. Participants will learn key concepts, available tools, and permissible use cases to build confidence for further engagement.",Lv. 1 - Never used AI,Lv.1 - Ideas,Operation
AI as a Co-Ideation Partner,Anders Reagan,"A series of on-demand sessions led by Anders Reagan focusing on using AI as a co-ideation partner, aimed at individuals who use AI daily, covering applications, chatbots, and innovation use cases.",Lv. 3 - Use AI on a daily basis,Lv.1 - Ideas,Operation
Identify Legacy Workflows: Streamline Admin by Letting Go of What’s No Longer Needed,Anders Reagan,"Workshop focuses on evaluating and streamlining outdated administrative workflows, emphasizing the use of AI and automation to enhance efficiency and clarity while ensuring stakeholder alignment for successful implementation.",Lv. 2 - Sometimes use AI,Lv.3 - Issue Specific,Operation
"Maximise the Impact of Your Role: Leverage AI, Strategy, and Visibility to Amplify What You Do Best",Anders Reagan,"Workshop focused on maximizing professional impact through AI tools, strategic thinking, and visibility. Participants will learn to define impact, eliminate low-leverage tasks, identify key contributions, and develop a role evolution plan to enhance influence and align with organizational goals.",Lv. 3 - Use AI on a daily basis,Lv.3 - Issue Specific,Operation
"Long-term Innovation: Future-Proofing Your Role, Team, and Career in an AI-Driven World",Anders Reagan,"Focus on designing with AI for long-term innovation by identifying durable value, mapping role evolution, and creating a personalized future-proofing blueprint. Participants will learn to differentiate between short-term optimization and long-term strategies, use foresight tools, and lead adaptive conversations in their organizations.",Lv. 2 - Sometimes use AI,Lv.3 - Issue Specific,Operation
Design Business Case Studies for Products and Workflows: Making Innovation Measurable,Anders Reagan,"Participants will learn to design business case studies for AI products, focusing on measurable use cases, defining metrics, and preparing for stakeholder questions to ensure successful implementation and alignment with organizational goals.",Lv. 3 - Use AI on a daily basis,Lv.3 - Issue Specific,Operation
Reveres Engineering AI Workflows,Anders Reagan,"Participants will learn to reverse engineer AI workflows from desired outputs, analyze AI-generated content, map modular workflows, select appropriate tools, and evaluate the ethics and trustworthiness of their designs.",Lv. 3 - Use AI on a daily basis,Lv.1 - Ideas,Operation
Using Local LLMs for Increased Privacy: Taking Control of Your Data Without Losing Capability,Anders Reagan,"Local language models provide a privacy-focused alternative to mainstream LLMs, allowing users to deploy and configure models like LLaMA and GPT4All for sensitive applications. Participants will learn about privacy risks, use cases, installation, and prompt crafting tailored to local models' strengths and limitations.",Lv. 3 - Use AI on a daily basis,Lv.1 - Ideas,Operation
Workflow of an AI-Enhanced Project: From 2 Weeks to 2 Hours,Anders Reagan,"Learn to compress project cycles from weeks to hours using AI by designing enhanced workflows, reducing bottlenecks, and integrating tools like ChatGPT and DALL·E for efficient research and presentation.",Lv. 2 - Sometimes use AI,Lv.2 - Hands On,Operation
Thinking About Thinking with AI: Why Self-Knowledge is Your Real Interface,Anders Reagan,"This training session focuses on improving metacognition to enhance AI workflows, teaching participants to recognize their cognitive patterns, understand AI limitations, and develop a personal workflow for continuous improvement in AI-augmented tasks.",Lv. Anyone,Lv.2 - Hands On,Operation
10 Truths About AI That Will Stand the Test of Time,Anders Reagan,"Core truths of AI remain constant despite changing trends and tools. Participants will learn to recognize AI patterns, differentiate capabilities from illusions, identify limitations, use prompts effectively, evaluate AI output, reflect on usage habits, and integrate AI strategically in their roles.",Lv. Anyone,Lv.1 - Ideas,Operation
"By learning how to do my job with AI, am I going to make my role redundant?",Anders Reagan,"Exploration of AI's impact on productivity reveals potential risks like job dislocation and burnout, while emphasizing the need to balance speed with value and actively reinvest saved time into deeper work and collaboration.",Lv. Anyone,Lv.1 - Ideas,Operation
"What Happens in a Post-Truth World? Navigating AI, Deepfakes, and Epistemic Collapse",Anders Reagan,"In a post-truth environment, where synthetic media challenges trust and verification, it's crucial to develop new habits for evaluating AI-generated content, maintain institutional credibility, and engage ethically with misinformation to preserve shared understanding and action.",Lv. Anyone,Lv.1 - Ideas,Operation
Building CustomGPTs for Admin Use Cases,Anders Reagan,"Workshop on building CustomGPTs for administrative use cases, focusing on chatbot tools and models, aimed at users with some AI experience, lasting 2 hours and available on demand.",Lv. 2 - Sometimes use AI,Lv.2 - Hands On,Operation
Getting Started on Your AI Journey in Operations (Part 2: Using the Tools Effectively),Anders Reagan,"A 2-hour practical session for staff to learn how to effectively use AI tools like ChatGPT and Microsoft Copilot for administrative tasks, focusing on improving productivity and evaluating AI-generated content. Participants will gain hands-on experience and prompting strategies to enhance AI outputs.",Lv. 1 - Never used AI,Lv.2 - Hands On,Operation
Getting Started on Your AI Journey in Operations (Part 3: Applying AI to Your Work),Anders Reagan,"Final training session focuses on applying AI tools to real administrative tasks, enhancing efficiency and accuracy, and planning for responsible AI use in professional contexts. Participants will engage in guided exercises to tailor AI capabilities to their workflows.",Lv. 1 - Never used AI,Lv.2 - Hands On,Operation
Getting Started with AI in Operations,Anders Reagan,"A three-part training series introduces generative AI to administrative staff, enhancing productivity and decision-making through foundational knowledge and hands-on application in workflows.",Lv. 1 - Never used AI,Lv.1 - Ideas,Operation
Enhancing administrative support through generative AI tools (AI for Personal and Executive Assistants),Anders Reagan,"Session for Personal and Executive Assistants on using generative AI tools like ChatGPT and Microsoft Copilot to enhance administrative tasks such as calendar management, correspondence drafting, and meeting support, focusing on practical techniques and maintaining professionalism.",Lv. 2 - Sometimes use AI,Lv.2 - Hands On,Operation
AI-Driven Workflow Transformation,Anders Reagan,"Training session on AI-driven workflow transformation at the University of Oxford, focusing on generative AI tools to enhance operational efficiency and reduce administrative burden through a structured, human-centered approach. Participants will learn to identify workflow inefficiencies and apply AI-supported improvements in their departments.",Lv. 2 - Sometimes use AI,Lv.3 - Issue Specific,Operation
ChatGPT: Getting the most out of hidden features and tips and tricks,Dominik Lukeš,"Training session on maximizing ChatGPT features, covering model selection, prompt refinement, custom instructions, voice mode, writing tools, mobile apps, image generation, and understanding different tiers and applications.",Lv. Anyone,Lv.1 - Ideas,Operation
"ChatGPT Alternatives: Claude, Gemini, Copilot and others and how to choose between them",Dominik Lukeš,"Explore alternatives to ChatGPT, including Claude, Gemini, and Copilot, along with smaller bots like Meta and Pi. Learn how to choose a chatbot based on model and features, and when to opt for alternatives.",Lv. Anyone,Lv.1 - Ideas,Research
"Large Language Model landscape: AI runs on models, what are they and how to choose between them",Dominik Lukeš,"Introduction to Large Language Models, their capabilities, training methods, and evaluation criteria, aimed at users interested in understanding AI applications like chatbots and productivity tools.",Lv. 2 - Sometimes use AI,Lv.1 - Ideas,Research
"AI Image Generation: What, where, how and how not to",Dominik Lukeš,"Training session on AI image generation covering capabilities, prompting techniques, key models like DALL-E and StableDiffusion, and applications such as ChatGPT and Midjourney.",Lv. 2 - Sometimes use AI,Lv.3 - Issue Specific,Research
AI Speech Capabilities: Tools for speech recognition and speech generation,Dominik Lukeš,"Overview of advancements in AI speech processing, focusing on improved speech recognition and natural-sounding speech generation, including applications like Whisper for multilingual recognition and voice cloning tools such as Elevenlabs and Heygen.",Lv. 2 - Sometimes use AI,Lv.1 - Ideas,Research
AI App Landscape: What kinds of  AI applications are there and how to choose the right one,Dominik Lukeš,No content,Lv. 2 - Sometimes use AI,Lv.1 - Ideas,Research
